Country name,Year,Number of deaths from drought,Number of deaths from earthquakes,Number of deaths from disasters,Number of deaths from volcanic activity,Number of deaths from floods,Number of deaths from mass movements,Number of deaths from storms,Number of deaths from landslides,Number of deaths from wildfires
Algeria,1960,0,6.9,22.2,0,15.3,0,0,,0
Algeria,1970,0,0,3.2,0,3.2,0,0,,0
Algeria,1980,0,268.6,284.6,0,16,0,0,,0
Algeria,1990,0,19.3,33.3,0,10.3,0,0,,2.2
Algeria,2000,0,227.9,366.6,0,131.2,0,2.7,,0.8
Algeria,2010,0,0.6,11.1,0,9.7,0,0,,0
Algeria,2020,0,0,37.8,0,4.2,0,0,,33.6
American Samoa,1900,0,0,0,0,0,0,0,,0
American Samoa,1910,0,0,0,0,0,0,0,,0
American Samoa,1920,0,0,0,0,0,0,0,,0
American Samoa,1930,0,0,0,0,0,0,0,,0
American Samoa,1940,0,0,0,0,0,0,0,,0
American Samoa,1950,0,0,0,0,0,0,0,,0
American Samoa,1960,0,0,9,0,0,0,9,,0
American Samoa,1970,0,0,0,0,0,0,0,,0
American Samoa,1980,0,0,0,0,0,0,0,,0
American Samoa,1990,0,0,0,0,0,0,0,,0
American Samoa,2000,0,3.4,4,0,0.6,0,0,,0
American Samoa,2010,0,0,0,0,0,0,0,,0
American Samoa,2020,0,0,0,0,0,0,0,,0
Angola,1900,0,0,0,0,0,0,0,,0
Angola,1910,0,0,0,0,0,0,0,,0
Angola,1920,0,0,0,0,0,0,0,,0
Angola,1930,0,0,0,0,0,0,0,,0
Angola,1940,0,0,0,0,0,0,0,,0
Angola,1950,0,0,0,0,0,0,0,,0
Angola,1960,0,0,0,0,0,0,0,,0
Angola,1970,0,0,0,0,0,0,0,,0
Angola,1980,0,0,0,0,0,0,0,,0
Angola,1990,0,0,0,0,0,0,0,,0
Angola,2000,5.8,0,39.9,0,32.8,0,0,,0
Angola,2010,0,0,44,0,44,0,0,,0
Angola,2020,0,0,28.2,0,28.2,0,0,,0
Anguilla,1900,0,0,0,0,0,0,0,,0
Anguilla,1910,0,0,0,0,0,0,0,,0
Anguilla,1920,0,0,0,0,0,0,0,,0
Anguilla,1930,0,0,0,0,0,0,0,,0
Anguilla,1940,0,0,0,0,0,0,0,,0
Anguilla,1950,0,0,0,0,0,0,0,,0
Anguilla,1960,0,0,0.5,0,0,0,0.5,,0
Anguilla,1970,0,0,0,0,0,0,0,,0
Anguilla,1980,0,0,0,0,0,0,0,,0
Anguilla,1990,0,0,0,0,0,0,0,,0
Anguilla,2000,0,0,0,0,0,0,0,,0
Anguilla,2010,0,0,0.4,0,0,0,0.4,,0
Anguilla,2020,0,0,0,0,0,0,0,,0
Antigua and Barbuda,1900,0,0,0,0,0,0,0,,0
Antigua and Barbuda,1910,0,0,0,0,0,0,0,,0
Antigua and Barbuda,1920,0,0,0,0,0,0,0,,0
Antigua and Barbuda,1930,0,0,0,0,0,0,0,,0
Antigua and Barbuda,1940,0,0,0,0,0,0,0,,0
Antigua and Barbuda,1950,0,0,0.2,0,0,0,0.2,,0
Antigua and Barbuda,1960,0,0,0.2,0,0,0,0.2,,0
Antigua and Barbuda,1970,0,0,0,0,0,0,0,,0
Antigua and Barbuda,1980,0,0,0.2,0,0,0,0.2,,0
Antigua and Barbuda,1990,0,0,0.6,0,0,0,0.6,,0
Antigua and Barbuda,2000,0,0,0,0,0,0,0,,0
Antigua and Barbuda,2010,0,0,0.1,0,0,0,0.1,,0
Antigua and Barbuda,2020,0,0,0,0,0,0,0,,0
Argentina,1900,0,0,0,0,0,0,0,,0
Argentina,1910,0,0,0,0,0,0,0,,0
Argentina,1920,0,40,40,0,0,0,0,,0
Argentina,1930,0,0,0,0,0,0,0,,0
Argentina,1940,0,1000,1000,0,0,0,0,,0
Argentina,1950,0,0,36,0,36,0,0,,0
Argentina,1960,0,0,16.3,0,11.8,0,0,,0
Argentina,1970,0,7,39.1,0,3.6,0,18.5,,0
Argentina,1980,0,0.6,14.4,0,10.6,0,0.2,,0
Argentina,1990,0,0,13,0,8.5,0,2.1,,2.4
Argentina,2000,0,0,18.1,0,6.9,0,5.7,,0.8
Argentina,2010,0.2,0,18,0,7.9,0,3.3,,0
Argentina,2020,1.2,0,8,0,0.6,0,3.2,,3
Armenia,1900,0,0,0,0,0,0,0,,0
Armenia,1910,0,0,0,0,0,0,0,,0
Armenia,1920,0,0,0,0,0,0,0,,0
Armenia,1930,0,289,289,0,0,0,0,,0
Armenia,1940,0,0,0,0,0,0,0,,0
Armenia,1950,0,0,0,0,0,0,0,,0
Armenia,1960,0,0,0,0,0,0,0,,0
Armenia,1970,0,0,0,0,0,0,0,,0
Armenia,1980,0,0,0,0,0,0,0,,0
Armenia,1990,0,0,0.4,0,0.4,0,0,,0
Armenia,2000,0,0,0.1,0,0.1,0,0,,0
Armenia,2010,0,0,0,0,0,0,0,,0
Armenia,2020,0,0,0,0,0,0,0,,0
Asia,1900,125000,4834.3,130951,15.5,0,0,1101.2,,0
Asia,1910,0,3464.4,19879.8,647.5,10137.9,0,5630,,0
Asia,1920,350000,38548.6,399968.5,14.4,3.6,0,11381.9,,0
Asia,1930,0,13094.4,457277.4,266.9,436093.3,0,7772.8,,0
Asia,1940,340000,3515.3,362185.4,0,6065.2,0,12554.9,,0
Asia,1950,0,1439.2,58210.5,195,53864,0,2502.5,,0
Asia,1960,150800,3054.9,320723.7,313.6,154302.7,15,12052.5,,0
Asia,1970,8.1,32729.5,73901.8,30,6476.8,0,34436.1,,0
Asia,1980,229.4,1038.8,10186.9,22.9,4248.9,87.3,4011.1,,21.2
Asia,1990,268.5,9539.3,34858.9,89.6,5293,46.8,18449,,47.3
Asia,2000,32.9,44765.3,66021.4,0.8,3706.6,6.6,16007.1,,0.5
Asia,2010,8.8,4225,11407,88.1,3718.1,9.2,1968.6,,15.1
Asia,2020,0,12345.8,16621,19,3144.8,0,665.6,,10.8
Australia,1900,0,0,0,0,0,0,0,,0
Australia,1910,0,0,0,0,0,0,0,,0
Australia,1920,0,0,0,0,0,0,0,,0
Australia,1930,0,0,7.1,0,0,0,0,,7.1
Australia,1940,0,0,4.9,0,0,0,0,,4.9
Australia,1950,0,0,7,0,7,0,0,,0
Australia,1960,60,0,67.4,0,0,0,0,,7.4
Australia,1970,0,0,17.5,0,6,0,11.2,,0.3
Australia,1980,0,1.2,21.7,0,7.1,0,4.8,,8.6
Australia,1990,0,0,14.7,0,3.8,0,5.1,,0.7
Australia,2000,0,0,59.5,0,3.4,0,1.2,,20.2
Australia,2010,0,0,25.1,0,4.9,0,3.3,,3
Australia,2020,0,0,12,0,7.6,0,2.2,,2.2
Austria,1900,0,0,0,0,0,0,0,,0
Austria,1910,0,0,0,0,0,0,0,,0
Austria,1920,0,0,0,0,0,0,0,,0
Austria,1930,0,0,0,0,0,0,0,,0
Austria,1940,0,0,0,0,0,0,0,,0
Austria,1950,0,0,23.8,0,0,0,0,,0
Austria,1960,0,0,0,0,0,0,0,,0
Austria,1970,0,0,1.5,0,0,0,0,,0
Austria,1980,0,0,6.6,0,1.2,0,1.2,,0
Austria,1990,0,0,6.6,0,1.3,0,0.3,,0
Austria,2000,0,0,38.6,0,1.4,0,0.7,,0
Austria,2010,0,0,2.6,0,0.4,0,1.6,,0
Austria,2020,0,0,85.6,0,0.2,0,0,,0
Azerbaijan,1900,0,0,0,0,0,0,0,,0
Azerbaijan,1910,0,0,0,0,0,0,0,,0
Azerbaijan,1920,0,0,0,0,0,0,0,,0
Azerbaijan,1930,0,0,0,0,0,0,0,,0
Azerbaijan,1940,0,0,0,0,0,0,0,,0
Azerbaijan,1950,0,0,0,0,0,0,0,,0
Azerbaijan,1960,0,0,0,0,0,0,0,,0
Azerbaijan,1970,0,0,0,0,0,0,0,,0
Azerbaijan,1980,0,0,0,0,0,0,0,,0
Azerbaijan,1990,0,0.2,1.8,0,1.6,0,0,,0
Azerbaijan,2000,0,3.1,4.2,0,0,0,0,,0
Azerbaijan,2010,0,0,0.8,0,0.3,0,0,,0
Azerbaijan,2020,0,0,0,0,0,0,0,,0
Bahamas,1900,0,0,0,0,0,0,0,,0
Bahamas,1910,0,0,0,0,0,0,0,,0
Bahamas,1920,0,0,0,0,0,0,0,,0
Bahamas,1930,0,0,1.4,0,0,0,1.4,,0
Bahamas,1940,0,0,2.2,0,0,0,2.2,,0
Bahamas,1950,0,0,0,0,0,0,0,,0
Bahamas,1960,0,0,0.5,0,0,0,0.5,,0
Bahamas,1970,0,0,0,0,0,0,0,,0
Bahamas,1980,0,0,0,0,0,0,0,,0
Bahamas,1990,0,0,0.5,0,0,0,0.5,,0
Bahamas,2000,0,0,1.4,0,0,0,1.4,,0
Bahamas,2010,0,0,39,0,0,0,39,,0
Bahamas,2020,0,0,0,0,0,0,0,,0
Bangladesh,1900,0,0,17.2,0,0,0,17.2,,0
Bangladesh,1910,0,0,0,0,0,0,0,,0
Bangladesh,1920,0,0,0.6,0,0,0,0.6,,0
Bangladesh,1930,0,0,0,0,0,0,0,,0
Bangladesh,1940,190000,0,196650,0,0,0,6650,,0
Bangladesh,1950,0,0,70,0,0,0,70,,0
Bangladesh,1960,0,0,10291.3,0,1029,0,9262.3,,0
Bangladesh,1970,1.8,0,33653.7,0,2937.5,0,30714.4,,0
Bangladesh,1980,0,0.3,2621.4,0,706.4,0,1897.7,,0
Bangladesh,1990,0,2.9,14636.8,0,294.4,0,14259.4,,0
Bangladesh,2000,0,0.4,925.6,0,240.4,0,558.8,,0
Bangladesh,2010,0,0.9,181.2,0,65.3,0,59.2,,0
Bangladesh,2020,0,0,100.6,0,84.6,0,16,,0
Barbados,1900,0,0,0,0,0,0,0,,0
Barbados,1910,0,0,0,0,0,0,0,,0
Barbados,1920,0,0,0,0,0,0,0,,0
Barbados,1930,0,0,0,0,0,0,0,,0
Barbados,1940,0,0,0,0,0,0,0,,0
Barbados,1950,0,0,5.7,0,0,0,5.7,,0
Barbados,1960,0,0,0,0,0,0,0,,0
Barbados,1970,0,0,0.3,0,0.3,0,0,,0
Barbados,1980,0,0,0,0,0,0,0,,0
Barbados,1990,0,0,0,0,0,0,0,,0
Barbados,2000,0,0,0.1,0,0,0,0.1,,0
Barbados,2010,0,0,0.1,0,0,0,0.1,,0
Barbados,2020,0,0,0,0,0,0,0,,0
Belarus,1900,0,0,0,0,0,0,0,,0
Belarus,1910,0,0,0,0,0,0,0,,0
Belarus,1920,0,0,0,0,0,0,0,,0
Belarus,1930,0,0,0,0,0,0,0,,0
Belarus,1940,0,0,0,0,0,0,0,,0
Belarus,1950,0,0,0,0,0,0,0,,0
Belarus,1960,0,0,0,0,0,0,0,,0
Belarus,1970,0,0,0,0,0,0,0,,0
Belarus,1980,0,0,0,0,0,0,0,,0
Belarus,1990,0,0,0.7,0,0.2,0,0.5,,0
Belarus,2000,0,0,0.5,0,0,0,0,,0
Belarus,2010,0,0,4.9,0,0,0,0,,0
Belarus,2020,0,0,0,0,0,0,0,,0
Belgium,1900,0,0,0.6,0,0.6,0,0,,0
Belgium,1910,0,0,0,0,0,0,0,,0
Belgium,1920,0,0,0,0,0,0,0,,0
Belgium,1930,0,0,6,0,0,0,6,,0
Belgium,1940,0,0,0,0,0,0,0,,0
Belgium,1950,0,0,1.5,0,1.5,0,0,,0
Belgium,1960,0,0,1.2,0,0,0,0,,0
Belgium,1970,0,0,0,0,0,0,0,,0
Belgium,1980,0,0.2,0.2,0,0,0,0,,0
Belgium,1990,0,0,2.5,0,0.1,0,2.4,,0
Belgium,2000,0,0,212.7,0,0.2,0,0.7,,0
Belgium,2010,0,0,107.8,0,0.4,0,0.8,,0
Belgium,2020,0,0,445.4,0,7.8,0,0.8,,0
Belize,1900,0,0,0,0,0,0,0,,0
Belize,1910,0,0,0,0,0,0,0,,0
Belize,1920,0,0,0,0,0,0,0,,0
Belize,1930,0,0,150,0,0,0,150,,0
Belize,1940,0,0,0,0,0,0,0,,0
Belize,1950,0,0,1.6,0,0,0,1.6,,0
Belize,1960,0,0,27.5,0,0,0,27.5,,0
Belize,1970,0,0,0.5,0,0,0,0.5,,0
Belize,1980,0,0,0,0,0,0,0,,0
Belize,1990,0,0,0.9,0,0,0,0.9,,0
Belize,2000,0,0,5.5,0,0.1,0,5.4,,0
Belize,2010,0,0,0,0,0,0,0,,0
Belize,2020,0,0,0,0,0,0,0,,0
Benin,1900,0,0,0,0,0,0,0,,0
Benin,1910,0,0,0,0,0,0,0,,0
Benin,1920,0,0,0,0,0,0,0,,0
Benin,1930,0,0,0,0,0,0,0,,0
Benin,1940,0,0,0,0,0,0,0,,0
Benin,1950,0,0,0,0,0,0,0,,0
Benin,1960,0,0,0,0,0,0,0,,0
Benin,1970,0,0,0.2,0,0,0,0,,0.2
Benin,1980,0,0,6.1,0,6.1,0,0,,0
Benin,1990,0,0,3.7,0,3.7,0,0,,0
Benin,2000,0,0,3.5,0,3.5,0,0,,0
Benin,2010,0,0,5.1,0,5,0,0,,0.1
Benin,2020,0,0,12.6,0,12.6,0,0,,0
Bermuda,1900,0,0,0,0,0,0,0,,0
Bermuda,1910,0,0,0,0,0,0,0,,0
Bermuda,1920,0,0,0,0,0,0,0,,0
Bermuda,1930,0,0,0,0,0,0,0,,0
Bermuda,1940,0,0,0,0,0,0,0,,0
Bermuda,1950,0,0,0,0,0,0,0,,0
Bermuda,1960,0,0,0,0,0,0,0,,0
Bermuda,1970,0,0,0,0,0,0,0,,0
Bermuda,1980,0,0,0,0,0,0,0,,0
Bermuda,1990,0,0,0,0,0,0,0,,0
Bermuda,2000,0,0,0.4,0,0,0,0.4,,0
Bermuda,2010,0,0,0,0,0,0,0,,0
Bermuda,2020,0,0,0,0,0,0,0,,0
Bhutan,1900,0,0,0,0,0,0,0,,0
Bhutan,1910,0,0,0,0,0,0,0,,0
Bhutan,1920,0,0,0,0,0,0,0,,0
Bhutan,1930,0,0,0,0,0,0,0,,0
Bhutan,1940,0,0,0,0,0,0,0,,0
Bhutan,1950,0,0,0,0,0,0,0,,0
Bhutan,1960,0,0,0,0,0,0,0,,0
Bhutan,1970,0,0,0,0,0,0,0,,0
Bhutan,1980,0,0,0,0,0,0,0,,0
Bhutan,1990,0,0,3.9,0,2.2,0,1.7,,0
Bhutan,2000,0,1.1,22.3,0,20,0,1.2,,0
Bhutan,2010,0,0.1,0.1,0,0,0,0,,0
Bhutan,2020,0,0,2,0,2,0,0,,0
Bolivia,1900,0,0,0,0,0,0,0,,0
Bolivia,1910,0,0,0,0,0,0,0,,0
Bolivia,1920,0,0,0,0,0,0,0,,0
Bolivia,1930,0,0,0,0,0,0,0,,0
Bolivia,1940,0,0,0,0,0,0,0,,0
Bolivia,1950,0,0,0,0,0,0,0,,0
Bolivia,1960,0,0,7.8,0,7.8,0,0,,0
Bolivia,1970,0,0,8.1,0,8.1,0,0,,0
Bolivia,1980,0,0,30.4,0,30.4,0,0,,0
Bolivia,1990,0,10,31.2,0,6,0,0,,0.3
Bolivia,2000,0,0,46.5,0,36.1,0,2,,0
Bolivia,2010,0,0,46.1,0,32.3,0,0,,0
Bolivia,2020,0,0,35,0,31.6,0,0,,3.4
Bosnia and Herzegovina,1900,0,0,0,0,0,0,0,,0
Bosnia and Herzegovina,1910,0,0,0,0,0,0,0,,0
Bosnia and Herzegovina,1920,0,0,0,0,0,0,0,,0
Bosnia and Herzegovina,1930,0,0,0,0,0,0,0,,0
Bosnia and Herzegovina,1940,0,0,0,0,0,0,0,,0
Bosnia and Herzegovina,1950,0,0,0,0,0,0,0,,0
Bosnia and Herzegovina,1960,0,0,0,0,0,0,0,,0
Bosnia and Herzegovina,1970,0,0,0,0,0,0,0,,0
Bosnia and Herzegovina,1980,0,0,0,0,0,0,0,,0
Bosnia and Herzegovina,1990,0,0,0,0,0,0,0,,0
Bosnia and Herzegovina,2000,0,0,1.1,0,0,0,0.4,,0
Bosnia and Herzegovina,2010,0,0,3.6,0,3,0,0,,0
Bosnia and Herzegovina,2020,0,0.2,0.6,0,0.2,0,0.2,,0
Botswana,1900,0,0,0,0,0,0,0,,0
Botswana,1910,0,0,0,0,0,0,0,,0
Botswana,1920,0,0,0,0,0,0,0,,0
Botswana,1930,0,0,0,0,0,0,0,,0
Botswana,1940,0,0,0,0,0,0,0,,0
Botswana,1950,0,0,0,0,0,0,0,,0
Botswana,1960,0,0,0,0,0,0,0,,0
Botswana,1970,0,0,0,0,0,0,0,,0
Botswana,1980,0,0,0.8,0,0.8,0,0,,0
Botswana,1990,0,0,2,0,2,0,0,,0
Botswana,2000,0,0,0.3,0,0.3,0,0,,0
Botswana,2010,0,0,1.2,0,1.2,0,0,,0
Botswana,2020,0,0,0,0,0,0,0,,0
Brazil,1900,0,0,0,0,0,0,0,,0
Brazil,1910,0,0,0,0,0,0,0,,0
Brazil,1920,0,0,0,0,0,0,0,,0
Brazil,1930,0,0,0,0,0,0,0,,0
Brazil,1940,0,0,30,0,20,0,10,,0
Brazil,1950,0,0,33.7,0,21.2,0,5.9,,0
Brazil,1960,0,0,275.3,0,181.8,0,3.6,,0
Brazil,1970,0,0,139.9,0,114.2,0,1,,0
Brazil,1980,2,0.1,195.5,0,159.8,0,11.6,,0
Brazil,1990,0,0,76.8,0,38.6,0,0.3,,0.1
Brazil,2000,0,0.1,104.9,0,86.6,0,2.6,,0
Brazil,2010,0,0,175.4,0,161.6,0,0.4,,0
Brazil,2020,0,0,196.8,0,184.2,0,12.6,,0
British Virgin Islands,1900,0,0,0,0,0,0,0,,0
British Virgin Islands,1910,0,0,0,0,0,0,0,,0
British Virgin Islands,1920,0,0,0,0,0,0,0,,0
British Virgin Islands,1930,0,0,0,0,0,0,0,,0
British Virgin Islands,1940,0,0,0,0,0,0,0,,0
British Virgin Islands,1950,0,0,0,0,0,0,0,,0
British Virgin Islands,1960,0,0,0,0,0,0,0,,0
British Virgin Islands,1970,0,0,0,0,0,0,0,,0
British Virgin Islands,1980,0,0,0,0,0,0,0,,0
British Virgin Islands,1990,0,0,0,0,0,0,0,,0
British Virgin Islands,2000,0,0,0,0,0,0,0,,0
British Virgin Islands,2010,0,0,0.9,0,0,0,0.9,,0
British Virgin Islands,2020,0,0,0,0,0,0,0,,0
Brunei,1900,0,0,0,0,0,0,0,,0
Brunei,1910,0,0,0,0,0,0,0,,0
Brunei,1920,0,0,0,0,0,0,0,,0
Brunei,1930,0,0,0,0,0,0,0,,0
Brunei,1940,0,0,0,0,0,0,0,,0
Brunei,1950,0,0,0,0,0,0,0,,0
Brunei,1960,0,0,0,0,0,0,0,,0
Brunei,1970,0,0,0,0,0,0,0,,0
Brunei,1980,0,0,0,0,0,0,0,,0
Brunei,1990,0,0,0,0,0,0,0,,0
Brunei,2000,0,0,0,0,0,0,0,,0
Brunei,2010,0,0,0,0,0,0,0,,0
Brunei,2020,0,0,0,0,0,0,0,,0
Bulgaria,1900,0,0,0,0,0,0,0,,0
Bulgaria,1910,0,0,0,0,0,0,0,,0
Bulgaria,1920,0,10.7,10.7,0,0,0,0,,0
Bulgaria,1930,0,0,0,0,0,0,0,,0
Bulgaria,1940,0,0,0,0,0,0,0,,0
Bulgaria,1950,0,0,0,0,0,0,0,,0
Bulgaria,1960,0,0,1.1,0,0,0,0,,0
Bulgaria,1970,0,2,2,0,0,0,0,,0
Bulgaria,1980,0,0.3,0.3,0,0,0,0,,0
Bulgaria,1990,0,0.1,0.4,0,0,0,0,,0
Bulgaria,2000,0,0,10.1,0,5.2,0,0.2,,1
Bulgaria,2010,0,0,6.7,0,3,0,0.1,,0
Bulgaria,2020,0,0,257,0,0.8,0,0.8,,0
Burkina Faso,1900,0,0,0,0,0,0,0,,0
Burkina Faso,1910,0,0,0,0,0,0,0,,0
Burkina Faso,1920,0,0,0,0,0,0,0,,0
Burkina Faso,1930,0,0,0,0,0,0,0,,0
Burkina Faso,1940,0,0,0,0,0,0,0,,0
Burkina Faso,1950,0,0,0,0,0,0,0,,0
Burkina Faso,1960,0,0,0,0,0,0,0,,0
Burkina Faso,1970,0,0,0,0,0,0,0,,0
Burkina Faso,1980,0,0,1.6,0,1.6,0,0,,0
Burkina Faso,1990,0,0,2.8,0,2.8,0,0,,0
Burkina Faso,2000,0,0,6.7,0,6.7,0,0,,0
Burkina Faso,2010,0,0,6.1,0,6.1,0,0,,0
Burkina Faso,2020,0,0,2.6,0,2.6,0,0,,0
Burundi,1900,0,0,0,0,0,0,0,,0
Burundi,1910,0,0,0,0,0,0,0,,0
Burundi,1920,0,0,0,0,0,0,0,,0
Burundi,1930,0,0,0,0,0,0,0,,0
Burundi,1940,0,0,0,0,0,0,0,,0
Burundi,1950,0,0,0,0,0,0,0,,0
Burundi,1960,0,0,0,0,0,0,0,,0
Burundi,1970,0,0,0,0,0,0,0,,0
Burundi,1980,0,0,1.2,0,1.2,0,0,,0
Burundi,1990,0,0,0,0,0,0,0,,0
Burundi,2000,12.6,0.3,16.5,0,3.6,0,0,,0
Burundi,2010,0,0,24.7,0,17.2,0,2.1,,0
Burundi,2020,0,0,5.2,0,4.8,0,0.4,,0
Cambodia,1900,0,0,0,0,0,0,0,,0
Cambodia,1910,0,0,0,0,0,0,0,,0
Cambodia,1920,0,0,0,0,0,0,0,,0
Cambodia,1930,0,0,0,0,0,0,0,,0
Cambodia,1940,0,0,0,0,0,0,0,,0
Cambodia,1950,0,0,0,0,0,0,0,,0
Cambodia,1960,0,0,0,0,0,0,0,,0
Cambodia,1970,0,0,0,0,0,0,0,,0
Cambodia,1980,0,0,0,0,0,0,0,,0
Cambodia,1990,0,0,69.7,0,67.2,0,2.5,,0
Cambodia,2000,0,0,47.4,0,45.5,0,1.9,,0
Cambodia,2010,0,0,52.6,0,52.6,0,0,,0
Cambodia,2020,0,0,15.2,0,3,0,12.2,,0
Cameroon,1900,0,0,0,0,0,0,0,,0
Cameroon,1910,0,0,0,0,0,0,0,,0
Cameroon,1920,0,0,0,0,0,0,0,,0
Cameroon,1930,0,0,0,0,0,0,0,,0
Cameroon,1940,0,0,0,0,0,0,0,,0
Cameroon,1950,0,0,0,0,0,0,0,,0
Cameroon,1960,0,0,0,0,0,0,0,,0
Cameroon,1970,0,0,0,0,0,0,0,,0
Cameroon,1980,0,0,178.5,178.3,0.2,0,0,,0
Cameroon,1990,0,0,3.2,0,3.2,0,0,,0
Cameroon,2000,0,0,7.2,0,5.2,0,0,,0
Cameroon,2010,0,0,9.9,0,4.5,0,0,,0
Cameroon,2020,0,0,9.6,0,0.4,0,0,,0
Canada,1900,0,0,12.7,0,0,12.7,0,,0
Canada,1910,0,0,21.9,0,0,0,2.8,,7.3
Canada,1920,0,2.7,7,0,0,0,0,,4.3
Canada,1930,0,0,50,0,0,0,0,,0
Canada,1940,0,0,1.7,0,0,0,1.7,,0
Canada,1950,0,0,9.3,0,0.1,0.3,8.9,,0
Canada,1960,0,0,5.9,0,0,0,3.3,,0
Canada,1970,0,0,5.5,0,0,0,2.4,,0
Canada,1980,0,0,4.2,0,0.3,0,3.8,,0.1
Canada,1990,0,0,6.3,0,2.5,0,3.8,,0
Canada,2000,0,0,4.2,0,0.9,0,3.2,,0.1
Canada,2010,0,0,9.6,0,1.2,0,0.3,,0.1
Canada,2020,0,0,170,0,2.2,0,3.6,,0.8
Cape Verde,1900,1100,0,1100,0,0,0,0,,0
Cape Verde,1910,0,0,0,0,0,0,0,,0
Cape Verde,1920,2400,0,2400,0,0,0,0,,0
Cape Verde,1930,0,0,0,0,0,0,0,,0
Cape Verde,1940,5000,0,5000,0,0,0,0,,0
Cape Verde,1950,0,0,0,0,0,0,0,,0
Cape Verde,1960,0,0,0,0,0,0,0,,0
Cape Verde,1970,0,0,0,0,0,0,0,,0
Cape Verde,1980,0,0,3.2,0,0,0,3.2,,0
Cape Verde,1990,0,0,0,0,0,0,0,,0
Cape Verde,2000,0,0,0.3,0,0.3,0,0,,0
Cape Verde,2010,0,0,0.9,0,0,0,0.9,,0
Cape Verde,2020,0,0,0.2,0,0.2,0,0,,0
Cayman Islands,1900,0,0,0,0,0,0,0,,0
Cayman Islands,1910,0,0,0,0,0,0,0,,0
Cayman Islands,1920,0,0,0,0,0,0,0,,0
Cayman Islands,1930,0,0,0,0,0,0,0,,0
Cayman Islands,1940,0,0,0,0,0,0,0,,0
Cayman Islands,1950,0,0,0,0,0,0,0,,0
Cayman Islands,1960,0,0,0,0,0,0,0,,0
Cayman Islands,1970,0,0,0,0,0,0,0,,0
Cayman Islands,1980,0,0,0,0,0,0,0,,0
Cayman Islands,1990,0,0,0,0,0,0,0,,0
Cayman Islands,2000,0,0,0.2,0,0,0,0.2,,0
Cayman Islands,2010,0,0,0,0,0,0,0,,0
Cayman Islands,2020,0,0,0,0,0,0,0,,0
Central African Republic,1900,0,0,0,0,0,0,0,,0
Central African Republic,1910,0,0,0,0,0,0,0,,0
Central African Republic,1920,0,0,0,0,0,0,0,,0
Central African Republic,1930,0,0,0,0,0,0,0,,0
