Country name,Year,Type of Disaster,Value
Asia,1920,Drought,350000.0
Asia,1930,Drought,0.0
Asia,1940,Drought,340000.0
Asia,1950,Drought,0.0
Asia,1960,Drought,150800.0
Asia,1970,Drought,8.1
Asia,1980,Drought,229.4
Asia,1990,Drought,268.5
Asia,2000,Drought,32.9
Asia,2010,Drought,8.8
Asia,2020,Drought,0.0
Australia,1900,Drought,0.0
Australia,1910,Drought,0.0
Australia,1920,Drought,0.0
Australia,1930,Drought,0.0
Australia,1940,Drought,0.0
Australia,1950,Drought,0.0
Australia,1960,Drought,60.0
Australia,1970,Drought,0.0
Australia,1980,Drought,0.0
Australia,1990,Drought,0.0
Australia,2000,Drought,0.0
Australia,2010,Drought,0.0
Australia,2020,Drought,0.0
Austria,1900,Drought,0.0
Austria,1910,Drought,0.0
Austria,1920,Drought,0.0
Austria,1930,Drought,0.0
Austria,1940,Drought,0.0
Austria,1950,Drought,0.0
Austria,1960,Drought,0.0
Austria,1970,Drought,0.0
Austria,1980,Drought,0.0
Austria,1990,Drought,0.0
Austria,2000,Drought,0.0
Austria,2010,Drought,0.0
Austria,2020,Drought,0.0
Azerbaijan,1900,Drought,0.0
Azerbaijan,1910,Drought,0.0
Azerbaijan,1920,Drought,0.0
Azerbaijan,1930,Drought,0.0
Azerbaijan,1940,Drought,0.0
Azerbaijan,1950,Drought,0.0
Azerbaijan,1960,Drought,0.0
Azerbaijan,1970,Drought,0.0
Azerbaijan,1980,Drought,0.0
Azerbaijan,1990,Drought,0.0
Azerbaijan,2000,Drought,0.0
Azerbaijan,2010,Drought,0.0
Azerbaijan,2020,Drought,0.0
Bahamas,1900,Drought,0.0
Bahamas,1910,Drought,0.0
Bahamas,1920,Drought,0.0
Bahamas,1930,Drought,0.0
Bahamas,1940,Drought,0.0
Bahamas,1950,Drought,0.0
Bahamas,1960,Drought,0.0
Bahamas,1970,Drought,0.0
Bahamas,1980,Drought,0.0
Bahamas,1990,Drought,0.0
Bahamas,2000,Drought,0.0
Bahamas,2010,Drought,0.0
Bahamas,2020,Drought,0.0
Bangladesh,1900,Drought,0.0
Bangladesh,1910,Drought,0.0
Bangladesh,1920,Drought,0.0
Bangladesh,1930,Drought,0.0
Bangladesh,1940,Drought,190000.0
Bangladesh,1950,Drought,0.0
Bangladesh,1960,Drought,0.0
Bangladesh,1970,Drought,1.8
Bangladesh,1980,Drought,0.0
Bangladesh,1990,Drought,0.0
Bangladesh,2000,Drought,0.0
Bangladesh,2010,Drought,0.0
Bangladesh,2020,Drought,0.0
Barbados,1900,Drought,0.0
Barbados,1910,Drought,0.0
Barbados,1920,Drought,0.0
Barbados,1930,Drought,0.0
Barbados,1940,Drought,0.0
Barbados,1950,Drought,0.0
Barbados,1960,Drought,0.0
Barbados,1970,Drought,0.0
Barbados,1980,Drought,0.0
Barbados,1990,Drought,0.0
Barbados,2000,Drought,0.0
Barbados,2010,Drought,0.0
Barbados,2020,Drought,0.0
Belarus,1900,Drought,0.0
Belarus,1910,Drought,0.0
Belarus,1920,Drought,0.0
Belarus,1930,Drought,0.0
Belarus,1940,Drought,0.0
Belarus,1950,Drought,0.0
Belarus,1960,Drought,0.0
Belarus,1970,Drought,0.0
Belarus,1980,Drought,0.0
Belarus,1990,Drought,0.0
Belarus,2000,Drought,0.0
Belarus,2010,Drought,0.0
Belarus,2020,Drought,0.0
Belgium,1900,Drought,0.0
Belgium,1910,Drought,0.0
Belgium,1920,Drought,0.0
Belgium,1930,Drought,0.0
Belgium,1940,Drought,0.0
Belgium,1950,Drought,0.0
Belgium,1960,Drought,0.0
Belgium,1970,Drought,0.0
Belgium,1980,Drought,0.0
Belgium,1990,Drought,0.0
Belgium,2000,Drought,0.0
Belgium,2010,Drought,0.0
Belgium,2020,Drought,0.0
Belize,1900,Drought,0.0
Belize,1910,Drought,0.0
Belize,1920,Drought,0.0
Belize,1930,Drought,0.0
Belize,1940,Drought,0.0
Belize,1950,Drought,0.0
Belize,1960,Drought,0.0
Belize,1970,Drought,0.0
Belize,1980,Drought,0.0
Belize,1990,Drought,0.0
Belize,2000,Drought,0.0
Belize,2010,Drought,0.0
Belize,2020,Drought,0.0
Benin,1900,Drought,0.0
Benin,1910,Drought,0.0
Benin,1920,Drought,0.0
Benin,1930,Drought,0.0
Benin,1940,Drought,0.0
Benin,1950,Drought,0.0
Benin,1960,Drought,0.0
Benin,1970,Drought,0.0
Benin,1980,Drought,0.0
Benin,1990,Drought,0.0
Benin,2000,Drought,0.0
Benin,2010,Drought,0.0
Benin,2020,Drought,0.0
Bermuda,1900,Drought,0.0
Bermuda,1910,Drought,0.0
Bermuda,1920,Drought,0.0
Bermuda,1930,Drought,0.0
Bermuda,1940,Drought,0.0
Bermuda,1950,Drought,0.0
Bermuda,1960,Drought,0.0
Bermuda,1970,Drought,0.0
Bermuda,1980,Drought,0.0
Bermuda,1990,Drought,0.0
Bermuda,2000,Drought,0.0
Bermuda,2010,Drought,0.0
Bermuda,2020,Drought,0.0
Bhutan,1900,Drought,0.0
Bhutan,1910,Drought,0.0
Bhutan,1920,Drought,0.0
Bhutan,1930,Drought,0.0
Bhutan,1940,Drought,0.0
Bhutan,1950,Drought,0.0
Bhutan,1960,Drought,0.0
Bhutan,1970,Drought,0.0
Bhutan,1980,Drought,0.0
Bhutan,1990,Drought,0.0
Bhutan,2000,Drought,0.0
Bhutan,2010,Drought,0.0
Bhutan,2020,Drought,0.0
Bolivia,1900,Drought,0.0
Bolivia,1910,Drought,0.0
Bolivia,1920,Drought,0.0
Bolivia,1930,Drought,0.0
Bolivia,1940,Drought,0.0
Bolivia,1950,Drought,0.0
Bolivia,1960,Drought,0.0
Bolivia,1970,Drought,0.0
Bolivia,1980,Drought,0.0
Bolivia,1990,Drought,0.0
Bolivia,2000,Drought,0.0
Bolivia,2010,Drought,0.0
Bolivia,2020,Drought,0.0
Bosnia and Herzegovina,1900,Drought,0.0
Bosnia and Herzegovina,1910,Drought,0.0
Bosnia and Herzegovina,1920,Drought,0.0
Bosnia and Herzegovina,1930,Drought,0.0
Bosnia and Herzegovina,1940,Drought,0.0
Bosnia and Herzegovina,1950,Drought,0.0
Bosnia and Herzegovina,1960,Drought,0.0
Bosnia and Herzegovina,1970,Drought,0.0
Bosnia and Herzegovina,1980,Drought,0.0
Bosnia and Herzegovina,1990,Drought,0.0
Bosnia and Herzegovina,2000,Drought,0.0
Bosnia and Herzegovina,2010,Drought,0.0
Bosnia and Herzegovina,2020,Drought,0.0
Botswana,1900,Drought,0.0
Botswana,1910,Drought,0.0
Botswana,1920,Drought,0.0
Botswana,1930,Drought,0.0
Botswana,1940,Drought,0.0
Botswana,1950,Drought,0.0
Botswana,1960,Drought,0.0
Botswana,1970,Drought,0.0
Botswana,1980,Drought,0.0
Botswana,1990,Drought,0.0
Botswana,2000,Drought,0.0
Botswana,2010,Drought,0.0
Botswana,2020,Drought,0.0
Brazil,1900,Drought,0.0
Brazil,1910,Drought,0.0
Brazil,1920,Drought,0.0
Brazil,1930,Drought,0.0
Brazil,1940,Drought,0.0
Brazil,1950,Drought,0.0
Brazil,1960,Drought,0.0
Brazil,1970,Drought,0.0
Brazil,1980,Drought,2.0
Brazil,1990,Drought,0.0
Brazil,2000,Drought,0.0
Brazil,2010,Drought,0.0
Brazil,2020,Drought,0.0
British Virgin Islands,1900,Drought,0.0
British Virgin Islands,1910,Drought,0.0
British Virgin Islands,1920,Drought,0.0
British Virgin Islands,1930,Drought,0.0
British Virgin Islands,1940,Drought,0.0
British Virgin Islands,1950,Drought,0.0
British Virgin Islands,1960,Drought,0.0
British Virgin Islands,1970,Drought,0.0
British Virgin Islands,1980,Drought,0.0
British Virgin Islands,1990,Drought,0.0
British Virgin Islands,2000,Drought,0.0
British Virgin Islands,2010,Drought,0.0
British Virgin Islands,2020,Drought,0.0
Brunei,1900,Drought,0.0
Brunei,1910,Drought,0.0
Brunei,1920,Drought,0.0
Brunei,1930,Drought,0.0
Brunei,1940,Drought,0.0
Brunei,1950,Drought,0.0
Brunei,1960,Drought,0.0
Brunei,1970,Drought,0.0
Brunei,1980,Drought,0.0
Brunei,1990,Drought,0.0
Brunei,2000,Drought,0.0
Brunei,2010,Drought,0.0
Brunei,2020,Drought,0.0
Bulgaria,1900,Drought,0.0
Bulgaria,1910,Drought,0.0
Bulgaria,1920,Drought,0.0
Bulgaria,1930,Drought,0.0
Bulgaria,1940,Drought,0.0
Bulgaria,1950,Drought,0.0
Bulgaria,1960,Drought,0.0
Bulgaria,1970,Drought,0.0
Bulgaria,1980,Drought,0.0
Bulgaria,1990,Drought,0.0
Bulgaria,2000,Drought,0.0
Bulgaria,2010,Drought,0.0
Bulgaria,2020,Drought,0.0
Burkina Faso,1900,Drought,0.0
Burkina Faso,1910,Drought,0.0
Burkina Faso,1920,Drought,0.0
Burkina Faso,1930,Drought,0.0
Burkina Faso,1940,Drought,0.0
Burkina Faso,1950,Drought,0.0
Burkina Faso,1960,Drought,0.0
Burkina Faso,1970,Drought,0.0
Burkina Faso,1980,Drought,0.0
Burkina Faso,1990,Drought,0.0
Burkina Faso,2000,Drought,0.0
Burkina Faso,2010,Drought,0.0
Burkina Faso,2020,Drought,0.0
Burundi,1900,Drought,0.0
Burundi,1910,Drought,0.0
Burundi,1920,Drought,0.0
Burundi,1930,Drought,0.0
Burundi,1940,Drought,0.0
Burundi,1950,Drought,0.0
Burundi,1960,Drought,0.0
Burundi,1970,Drought,0.0
Burundi,1980,Drought,0.0
Burundi,1990,Drought,0.0
Burundi,2000,Drought,12.6
Burundi,2010,Drought,0.0
Burundi,2020,Drought,0.0
Cambodia,1900,Drought,0.0
Cambodia,1910,Drought,0.0
Cambodia,1920,Drought,0.0
Cambodia,1930,Drought,0.0
Cambodia,1940,Drought,0.0
Cambodia,1950,Drought,0.0
Cambodia,1960,Drought,0.0
Cambodia,1970,Drought,0.0
Cambodia,1980,Drought,0.0
Cambodia,1990,Drought,0.0
Cambodia,2000,Drought,0.0
Cambodia,2010,Drought,0.0
Cambodia,2020,Drought,0.0
Cameroon,1900,Drought,0.0
Cameroon,1910,Drought,0.0
Cameroon,1920,Drought,0.0
Cameroon,1930,Drought,0.0
Cameroon,1940,Drought,0.0
Cameroon,1950,Drought,0.0
Cameroon,1960,Drought,0.0
Cameroon,1970,Drought,0.0
Cameroon,1980,Drought,0.0
Cameroon,1990,Drought,0.0
Cameroon,2000,Drought,0.0
Cameroon,2010,Drought,0.0
Cameroon,2020,Drought,0.0
Canada,1900,Drought,0.0
Canada,1910,Drought,0.0
Canada,1920,Drought,0.0
Canada,1930,Drought,0.0
Canada,1940,Drought,0.0
Canada,1950,Drought,0.0
Canada,1960,Drought,0.0
Canada,1970,Drought,0.0
Canada,1980,Drought,0.0
Canada,1990,Drought,0.0
Canada,2000,Drought,0.0
Canada,2010,Drought,0.0
Canada,2020,Drought,0.0
Cape Verde,1900,Drought,1100.0
Cape Verde,1910,Drought,0.0
Cape Verde,1920,Drought,2400.0
Cape Verde,1930,Drought,0.0
Cape Verde,1940,Drought,5000.0
Cape Verde,1950,Drought,0.0
Cape Verde,1960,Drought,0.0
Cape Verde,1970,Drought,0.0
Cape Verde,1980,Drought,0.0
Cape Verde,1990,Drought,0.0
Cape Verde,2000,Drought,0.0
Cape Verde,2010,Drought,0.0
Cape Verde,2020,Drought,0.0
Cayman Islands,1900,Drought,0.0
Cayman Islands,1910,Drought,0.0
Cayman Islands,1920,Drought,0.0
Cayman Islands,1930,Drought,0.0
Cayman Islands,1940,Drought,0.0
Cayman Islands,1950,Drought,0.0
Cayman Islands,1960,Drought,0.0
Cayman Islands,1970,Drought,0.0
Cayman Islands,1980,Drought,0.0
Cayman Islands,1990,Drought,0.0
Cayman Islands,2000,Drought,0.0
Cayman Islands,2010,Drought,0.0
Cayman Islands,2020,Drought,0.0
Central African Republic,1900,Drought,0.0
Central African Republic,1910,Drought,0.0
Central African Republic,1920,Drought,0.0
Central African Republic,1930,Drought,0.0
Central African Republic,1940,Drought,0.0
Central African Republic,1950,Drought,0.0
Central African Republic,1960,Drought,0.0
Central African Republic,1970,Drought,0.0
Central African Republic,1980,Drought,0.0
Central African Republic,1990,Drought,0.0
Central African Republic,2000,Drought,0.0
Central African Republic,2010,Drought,0.0
Central African Republic,2020,Drought,0.0
Chad,1900,Drought,0.0
Chad,1910,Drought,0.0
Chad,1920,Drought,0.0
Chad,1930,Drought,0.0
Chad,1940,Drought,0.0
Chad,1950,Drought,0.0
Chad,1960,Drought,0.0
Chad,1970,Drought,0.0
Chad,1980,Drought,300.0
Chad,1990,Drought,0.0
Chad,2000,Drought,0.0
Chad,2010,Drought,0.0
Chad,2020,Drought,0.0
Chile,1900,Drought,0.0
Chile,1910,Drought,0.0
Chile,1920,Drought,0.0
Chile,1930,Drought,0.0
Chile,1940,Drought,0.0
Chile,1950,Drought,0.0
Chile,1960,Drought,0.0
Chile,1970,Drought,0.0
Chile,1980,Drought,0.0
Chile,1990,Drought,0.0
Chile,2000,Drought,0.0
Chile,2010,Drought,0.0
Chile,2020,Drought,0.0
China,1900,Drought,0.0
China,1910,Drought,0.0
China,1920,Drought,350000.0
China,1930,Drought,0.0
China,1940,Drought,0.0
China,1950,Drought,0.0
China,1960,Drought,0.0
China,1970,Drought,0.0
China,1980,Drought,140.0
China,1990,Drought,200.0
China,2000,Drought,13.4
China,2010,Drought,0.0
China,2020,Drought,0.0
Colombia,1900,Drought,0.0
Colombia,1910,Drought,0.0
Colombia,1920,Drought,0.0
Colombia,1930,Drought,0.0
Colombia,1940,Drought,0.0
Colombia,1950,Drought,0.0
Colombia,1960,Drought,0.0
Colombia,1970,Drought,0.0
Colombia,1980,Drought,0.0
Colombia,1990,Drought,0.0
Colombia,2000,Drought,0.0
Colombia,2010,Drought,0.0
Colombia,2020,Drought,0.0
Comoros,1900,Drought,0.0
Comoros,1910,Drought,0.0
Comoros,1920,Drought,0.0
Comoros,1930,Drought,0.0
Comoros,1940,Drought,0.0
Comoros,1950,Drought,0.0
Comoros,1960,Drought,0.0
Comoros,1970,Drought,0.0
Comoros,1980,Drought,0.0
Comoros,1990,Drought,0.0
Comoros,2000,Drought,0.0
Comoros,2010,Drought,0.0
Comoros,2020,Drought,0.0
Congo,1900,Drought,0.0
Congo,1910,Drought,0.0
Congo,1920,Drought,0.0
Congo,1930,Drought,0.0
Congo,1940,Drought,0.0
Congo,1950,Drought,0.0
Congo,1960,Drought,0.0
Congo,1970,Drought,0.0
Congo,1980,Drought,0.0
Congo,1990,Drought,0.0
Congo,2000,Drought,0.0
Congo,2010,Drought,0.0
Congo,2020,Drought,0.0
Cook Islands,1900,Drought,0.0
Cook Islands,1910,Drought,0.0
Cook Islands,1920,Drought,0.0
Cook Islands,1930,Drought,0.0
Cook Islands,1940,Drought,0.0
Cook Islands,1950,Drought,0.0
Cook Islands,1960,Drought,0.0
Cook Islands,1970,Drought,0.0
Cook Islands,1980,Drought,0.0
Cook Islands,1990,Drought,0.0
Cook Islands,2000,Drought,0.0
Cook Islands,2010,Drought,0.0
Cook Islands,2020,Drought,0.0
Costa Rica,1900,Drought,0.0
Costa Rica,1910,Drought,0.0
Costa Rica,1920,Drought,0.0
Costa Rica,1930,Drought,0.0
Costa Rica,1940,Drought,0.0
Costa Rica,1950,Drought,0.0
Costa Rica,1960,Drought,0.0
Costa Rica,1970,Drought,0.0
Costa Rica,1980,Drought,0.0
Costa Rica,1990,Drought,0.0
Costa Rica,2000,Drought,0.0
Costa Rica,2010,Drought,0.0
Costa Rica,2020,Drought,0.0
Cote d'Ivoire,1900,Drought,0.0
Cote d'Ivoire,1910,Drought,0.0
Cote d'Ivoire,1920,Drought,0.0
Cote d'Ivoire,1930,Drought,0.0
Cote d'Ivoire,1940,Drought,0.0
Cote d'Ivoire,1950,Drought,0.0
Cote d'Ivoire,1960,Drought,0.0
Cote d'Ivoire,1970,Drought,0.0
Cote d'Ivoire,1980,Drought,0.0
Cote d'Ivoire,1990,Drought,0.0
Cote d'Ivoire,2000,Drought,0.0
Cote d'Ivoire,2010,Drought,0.0
Cote d'Ivoire,2020,Drought,0.0
Croatia,1900,Drought,0.0
Croatia,1910,Drought,0.0
Croatia,1920,Drought,0.0
Croatia,1930,Drought,0.0
Croatia,1940,Drought,0.0
Croatia,1950,Drought,0.0
Croatia,1960,Drought,0.0
Croatia,1970,Drought,0.0
Croatia,1980,Drought,0.0
Croatia,1990,Drought,0.0
Croatia,2000,Drought,0.0
Croatia,2010,Drought,0.0
Croatia,2020,Drought,0.0
Cuba,1900,Drought,0.0
Cuba,1910,Drought,0.0
Cuba,1920,Drought,0.0
Cuba,1930,Drought,0.0
Cuba,1940,Drought,0.0
Cuba,1950,Drought,0.0
Cuba,1960,Drought,0.0
Cuba,1970,Drought,0.0
Cuba,1980,Drought,0.0
Cuba,1990,Drought,0.0
Cuba,2000,Drought,0.0
Cuba,2010,Drought,0.0
Cuba,2020,Drought,0.0
Cyprus,1900,Drought,0.0
Cyprus,1910,Drought,0.0
Cyprus,1920,Drought,0.0
Cyprus,1930,Drought,0.0
Cyprus,1940,Drought,0.0
Cyprus,1950,Drought,0.0
Cyprus,1960,Drought,0.0
Cyprus,1970,Drought,0.0
Cyprus,1980,Drought,0.0
Cyprus,1990,Drought,0.0
Cyprus,2000,Drought,0.0
Cyprus,2010,Drought,0.0
Cyprus,2020,Drought,0.0
Czechia,1900,Drought,0.0
Czechia,1910,Drought,0.0
Czechia,1920,Drought,0.0
Czechia,1930,Drought,0.0
Czechia,1940,Drought,0.0
Czechia,1950,Drought,0.0
Czechia,1960,Drought,0.0
Czechia,1970,Drought,0.0
Czechia,1980,Drought,0.0
Czechia,1990,Drought,0.0
Czechia,2000,Drought,0.0
Czechia,2010,Drought,0.0
Czechia,2020,Drought,0.0
Czechoslovakia,1900,Drought,0.0
Czechoslovakia,1910,Drought,0.0
Czechoslovakia,1920,Drought,0.0
Czechoslovakia,1930,Drought,0.0
Czechoslovakia,1940,Drought,0.0
Czechoslovakia,1950,Drought,0.0
Czechoslovakia,1960,Drought,0.0
Czechoslovakia,1970,Drought,0.0
Czechoslovakia,1980,Drought,0.0
Czechoslovakia,1990,Drought,0.0
Czechoslovakia,2000,Drought,0.0
Czechoslovakia,2010,Drought,0.0
Czechoslovakia,2020,Drought,0.0
Democratic Republic of Congo,1900,Drought,0.0
Democratic Republic of Congo,1910,Drought,0.0
Democratic Republic of Congo,1920,Drought,0.0
Democratic Republic of Congo,1930,Drought,0.0
Democratic Republic of Congo,1940,Drought,0.0
Democratic Republic of Congo,1950,Drought,0.0
Democratic Republic of Congo,1960,Drought,0.0
Democratic Republic of Congo,1970,Drought,0.0
Democratic Republic of Congo,1980,Drought,0.0
Democratic Republic of Congo,1990,Drought,0.0
Democratic Republic of Congo,2000,Drought,0.0
Democratic Republic of Congo,2010,Drought,0.0
Democratic Republic of Congo,2020,Drought,0.0
Denmark,1900,Drought,0.0
Denmark,1910,Drought,0.0
Denmark,1920,Drought,0.0
Denmark,1930,Drought,0.0
Denmark,1940,Drought,0.0
Denmark,1950,Drought,0.0
Denmark,1960,Drought,0.0
Denmark,1970,Drought,0.0
Denmark,1980,Drought,0.0
Denmark,1990,Drought,0.0
Denmark,2000,Drought,0.0
Denmark,2010,Drought,0.0
Denmark,2020,Drought,0.0
Djibouti,1900,Drought,0.0
Djibouti,1910,Drought,0.0
Djibouti,1920,Drought,0.0
Djibouti,1930,Drought,0.0
Djibouti,1940,Drought,0.0
Djibouti,1950,Drought,0.0
Djibouti,1960,Drought,0.0
Djibouti,1970,Drought,0.0
Djibouti,1980,Drought,0.0
Djibouti,1990,Drought,0.0
Djibouti,2000,Drought,0.0
Djibouti,2010,Drought,0.0
Djibouti,2020,Drought,0.0
Dominica,1900,Drought,0.0
Dominica,1910,Drought,0.0
Dominica,1920,Drought,0.0
Dominica,1930,Drought,0.0
Dominica,1940,Drought,0.0
Dominica,1950,Drought,0.0
Dominica,1960,Drought,0.0
Dominica,1970,Drought,0.0
Dominica,1980,Drought,0.0
Dominica,1990,Drought,0.0
Dominica,2000,Drought,0.0
Dominica,2010,Drought,0.0
Dominica,2020,Drought,0.0
Dominican Republic,1900,Drought,0.0
Dominican Republic,1910,Drought,0.0
Dominican Republic,1920,Drought,0.0
Dominican Republic,1930,Drought,0.0
Dominican Republic,1940,Drought,0.0
Dominican Republic,1950,Drought,0.0
Dominican Republic,1960,Drought,0.0
Dominican Republic,1970,Drought,0.0
Dominican Republic,1980,Drought,0.0
Dominican Republic,1990,Drought,0.0
Dominican Republic,2000,Drought,0.0
Dominican Republic,2010,Drought,0.0
Dominican Republic,2020,Drought,0.0
East Germany,1900,Drought,0.0
East Germany,1910,Drought,0.0
East Germany,1920,Drought,0.0
East Germany,1930,Drought,0.0
East Germany,1940,Drought,0.0
East Germany,1950,Drought,0.0
East Germany,1960,Drought,0.0
East Germany,1970,Drought,0.0
East Germany,1980,Drought,0.0
East Germany,1990,Drought,0.0
East Germany,2000,Drought,0.0
East Germany,2010,Drought,0.0
East Germany,2020,Drought,0.0
East Timor,1900,Drought,0.0
East Timor,1910,Drought,0.0
East Timor,1920,Drought,0.0
East Timor,1930,Drought,0.0
East Timor,1940,Drought,0.0
East Timor,1950,Drought,0.0
East Timor,1960,Drought,0.0
East Timor,1970,Drought,0.0
East Timor,1980,Drought,0.0
East Timor,1990,Drought,0.0
East Timor,2000,Drought,0.0
East Timor,2010,Drought,0.0
East Timor,2020,Drought,0.0
Ecuador,1900,Drought,0.0
Ecuador,1910,Drought,0.0
Ecuador,1920,Drought,0.0
Ecuador,1930,Drought,0.0
Ecuador,1940,Drought,0.0
Ecuador,1950,Drought,0.0
Ecuador,1960,Drought,0.0
Ecuador,1970,Drought,0.0
Ecuador,1980,Drought,0.0
Ecuador,1990,Drought,0.0
Ecuador,2000,Drought,0.0
Ecuador,2010,Drought,0.0
Ecuador,2020,Drought,0.0
Egypt,1900,Drought,0.0
Egypt,1910,Drought,0.0
Egypt,1920,Drought,0.0
Egypt,1930,Drought,0.0
Egypt,1940,Drought,0.0
Egypt,1950,Drought,0.0
Egypt,1960,Drought,0.0
Egypt,1970,Drought,0.0
Egypt,1980,Drought,0.0
Egypt,1990,Drought,0.0
Egypt,2000,Drought,0.0
Egypt,2010,Drought,0.0
Egypt,2020,Drought,0.0
El Salvador,1900,Drought,0.0
El Salvador,1910,Drought,0.0
El Salvador,1920,Drought,0.0
El Salvador,1930,Drought,0.0
El Salvador,1940,Drought,0.0
El Salvador,1950,Drought,0.0
El Salvador,1960,Drought,0.0
El Salvador,1970,Drought,0.0
El Salvador,1980,Drought,0.0
El Salvador,1990,Drought,0.0
El Salvador,2000,Drought,0.0
El Salvador,2010,Drought,0.0
El Salvador,2020,Drought,0.0
Eritrea,1900,Drought,0.0
Eritrea,1910,Drought,0.0
Eritrea,1920,Drought,0.0
Eritrea,1930,Drought,0.0
Eritrea,1940,Drought,0.0
Eritrea,1950,Drought,0.0
Eritrea,1960,Drought,0.0
Eritrea,1970,Drought,0.0
Eritrea,1980,Drought,0.0
Eritrea,1990,Drought,0.0
Eritrea,2000,Drought,0.0
Eritrea,2010,Drought,0.0
Eritrea,2020,Drought,0.0
Estonia,1900,Drought,0.0
Estonia,1910,Drought,0.0
Estonia,1920,Drought,0.0
Estonia,1930,Drought,0.0
